w3脉冲幅值,w3幅值_固定,w3幅值_跳变,w3幅值_滑变,w3幅值_组变,w3幅值_参差,w3脉冲载频,w3载频_固定,w3载频_跳变,w3载频_滑变,w3载频_组变,w3载频_参差,w3重复周期,w3周期_固定,w3周期_跳变,w3周期_滑变,w3周期_组变,w3周期_参差,w1脉冲宽度,w1脉宽_固定,w1脉宽_跳变,w1脉宽_滑变,w1脉宽_组变,w1脉宽_参差,标签
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21.584698162424253,0.0,21.584698162424253,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.3,0.0,0.0,7.3,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.0
29.148636698628074,0.0,29.148636698628074,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.35,0.0,0.0,7.35,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.6,2.0
19.061928998498217,0.0,19.061928998498217,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.3999999999999995,0.0,0.0,7.3999999999999995,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,2.0
22.627407242822457,0.0,22.627407242822457,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.449999999999999,0.0,0.0,7.449999999999999,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,2.0
26.78914366207297,0.0,26.78914366207297,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.499999999999999,0.0,0.0,7.499999999999999,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,2.0
21.433748241064734,0.0,21.433748241064734,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.549999999999999,0.0,0.0,7.549999999999999,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.0
33.56914966333042,0.0,33.56914966333042,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.599999999999999,0.0,0.0,7.599999999999999,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.6,2.0
32.281336740683834,0.0,32.281336740683834,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.3,0.0,0.0,7.3,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,2.0
31.77154504148119,0.0,31.77154504148119,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.35,0.0,0.0,7.35,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,2.0
26.71562327013855,0.0,26.71562327013855,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.3999999999999995,0.0,0.0,7.3999999999999995,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,2.0
29.93312299677383,0.0,29.93312299677383,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.449999999999999,0.0,0.0,7.449999999999999,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.0
23.882159172692873,0.0,23.882159172692873,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.499999999999999,0.0,0.0,7.499999999999999,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.6,2.0
32.48229661789092,0.0,32.48229661789092,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.549999999999999,0.0,0.0,7.549999999999999,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,2.0
33.76052240074834,0.0,33.76052240074834,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.599999999999999,0.0,0.0,7.599999999999999,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,2.0
20.901633052919856,0.0,20.901633052919856,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,9760.0,0.0,7.3,0.0,0.0,7.3,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,2.0
